Metabolite Abbreviation,Metabolite Name,Charge,Compartment,Boundary Condition,FORMULA,KEGG ID
M_13dpg_c,3-Phospho-D-glyceroyl-phosphate,    ,,FALSE,C3H4O10P2,C00236
M_2pg_c,D-Glycerate-2-phosphate,    ,,FALSE,C3H4O7P,C00631
M_3pg_c,3-Phospho-D-glycerate,    ,,FALSE,C3H4O7P,C00197
M_6pgc_c,6-Phospho-D-gluconate,    ,,FALSE,C6H10O10P,C00345
M_6pgl_c,6-phospho-D-glucono-1-5-lactone,    ,,FALSE,C6H9O9P,C01236
M_ac_c,Acetate,    ,,FALSE,C2H3O2,C00033
M_ac_e,Acetate,    ,C_e,FALSE,C2H3O2,C00033
M_acald_c,Acetaldehyde,    ,,FALSE,C2H4O,C00084
M_acald_e,Acetaldehyde,    ,C_e,FALSE,C2H4O,C00084
M_accoa_c,Acetyl-CoA,    ,,FALSE,C23H34N7O17P3S,C00024
M_acon_C_c,cis-Aconitate,    ,,FALSE,C6H3O6,C00417
M_actp_c,Acetyl-phosphate,    ,,FALSE,C2H3O5P,C00227
M_adp_c,ADP,    ,,FALSE,C10H12N5O10P2,C00008
M_akg_c,2-Oxoglutarate,    ,,FALSE,C5H4O5,C00026
M_akg_e,2-Oxoglutarate,    ,C_e,FALSE,C5H4O5,C00026
M_amp_c,AMP,    ,,FALSE,C10H12N5O7P,C00020
M_atp_c,ATP,    ,,FALSE,C10H12N5O13P3,C00002
M_cit_c,Citrate,    ,,FALSE,C6H5O7,C00158
M_co2_c,CO2,    ,,FALSE,CO2,C00011
M_co2_e,CO2,    ,C_e,FALSE,CO2,C00011
M_coa_c,Coenzyme-A,    ,,FALSE,C21H32N7O16P3S,C00010
M_dhap_c,Dihydroxyacetone-phosphate,    ,,FALSE,C3H5O6P,C00111
M_e4p_c,D-Erythrose-4-phosphate,    ,,FALSE,C4H7O7P,C00279
M_etoh_c,Ethanol,    ,,FALSE,C2H6O,C00469
M_etoh_e,Ethanol,    ,C_e,FALSE,C2H6O,C00469
M_f6p_c,D-Fructose-6-phosphate,    ,,FALSE,C6H11O9P,C00085
M_fdp_c,D-Fructose-1-6-bisphosphate,    ,,FALSE,C6H10O12P2,C00354
M_for_c,Formate,    ,,FALSE,CH1O2,C00058
M_for_e,Formate,    ,C_e,FALSE,CH1O2,C00058
M_fru_e,D-Fructose,    ,C_e,FALSE,C6H12O6,C00095
M_fum_c,Fumarate,    ,,FALSE,C4H2O4,C00122
M_fum_e,Fumarate,    ,C_e,FALSE,C4H2O4,C00122
M_g3p_c,Glyceraldehyde-3-phosphate,    ,,FALSE,C3H5O6P,C00661
M_g6p_c,D-Glucose-6-phosphate,    ,,FALSE,C6H11O9P,C00092
M_glc_D_e,D-Glucose,    ,C_e,FALSE,C6H12O6,C00031
M_gln_L_c,L-Glutamine,    ,,FALSE,C5H10N2O3,C00064
M_gln_L_e,L-Glutamine,    ,C_e,FALSE,C5H10N2O3,C00064
M_glu_L_c,L-Glutamate,    ,,FALSE,C5H8NO4,C00025
M_glu_L_e,L-Glutamate,    ,C_e,FALSE,C5H8NO4,C00025
M_glx_c,Glyoxylate,    ,,FALSE,C2H1O3,C00048
M_h2o_c,H2O,    ,,FALSE,H2O,C00001
M_h2o_e,H2O,    ,C_e,FALSE,H2O,C00001
M_h_c,H,    ,,FALSE,H,C00080
M_h_e,H,    ,C_e,FALSE,H,C00080
M_icit_c,Isocitrate,    ,,FALSE,C6H5O7,C00311
M_lac_D_c,D-Lactate,    ,,FALSE,C3H5O3,C00256
M_lac_D_e,D-Lactate,    ,C_e,FALSE,C3H5O3,C00256
M_mal_L_c,L-Malate,    ,,FALSE,C4H4O5,C00149
M_mal_L_e,L-Malate,    ,C_e,FALSE,C4H4O5,C00149
M_nad_c,Nicotinamide-adenine-dinucleotide,    ,,FALSE,C21H26N7O14P2,C00003
M_nadh_c,Nicotinamide-adenine-dinucleotide-reduced,    ,,FALSE,C21H27N7O14P2,C00004
M_nadp_c,Nicotinamide-adenine-dinucleotide-phosphate,    ,,FALSE,C21H25N7O17P3,C00006
M_nadph_c,Nicotinamide-adenine-dinucleotide-phosphate-reduced,    ,,FALSE,C21H26N7O17P3,C00005
M_nh4_c,Ammonium,    ,,FALSE,H4N,C01342
M_nh4_e,Ammonium,    ,C_e,FALSE,H4N,C01342
M_o2_c,O2,    ,,FALSE,O2,C00007
M_o2_e,O2,    ,C_e,FALSE,O2,C00007
M_oaa_c,Oxaloacetate,    ,,FALSE,C4H2O5,C00036
M_pep_c,Phosphoenolpyruvate,    ,,FALSE,C3H2O6P,C00074
M_pi_c,Phosphate,    ,,FALSE,HO4P,C00009
M_pi_e,Phosphate,    ,C_e,FALSE,HO4P,C00009
M_pyr_c,Pyruvate,    ,,FALSE,C3H3O3,C00022
M_pyr_e,Pyruvate,    ,C_e,FALSE,C3H3O3,C00022
M_q8_c,Ubiquinone-8,    ,,FALSE,C49H74O4,C00399
M_q8h2_c,Ubiquinol-8,    ,,FALSE,C49H76O4,C00390
M_r5p_c,alpha-D-Ribose-5-phosphate,    ,,FALSE,C5H9O8P,C00117
M_ru5p_D_c,D-Ribulose-5-phosphate,    ,,FALSE,C5H9O8P,C00199
M_s7p_c,Sedoheptulose-7-phosphate,    ,,FALSE,C7H13O10P,C00281
M_succ_c,Succinate,    ,,FALSE,C4H4O4,C00042
M_succ_e,Succinate,    ,C_e,FALSE,C4H4O4,C00042
M_succoa_c,Succinyl-CoA,    ,,FALSE,C25H35N7O19P3S,C00091
M_xu5p_D_c,D-Xylulose-5-phosphate,    ,,FALSE,C5H9O8P,C00231
M_ac_b,ac_b,    ,C_e,TRUE, ,C00033
M_acald_b,acald_b,    ,C_e,TRUE, ,C00084
M_akg_b,akg_b,    ,C_e,TRUE, ,C00026
M_co2_b,co2_b,    ,C_e,TRUE, ,C00011
M_etoh_b,etoh_b,    ,C_e,TRUE, ,C00469
M_for_b,for_b,    ,C_e,TRUE, ,C00058
M_fru_b,fru_b,    ,C_e,TRUE, ,C00095
M_fum_b,fum_b,    ,C_e,TRUE, ,C00122
M_glc_D_b,glc_D_b,    ,C_e,TRUE, ,C00031
M_gln_L_b,gln_L_b,    ,C_e,TRUE, ,C00064
M_glu_L_b,glu_L_b,    ,C_e,TRUE, ,C00025
M_h2o_b,h2o_b,    ,C_e,TRUE, ,C00001
M_h_b,h_b,    ,C_e,TRUE, ,C00080
M_lac_D_b,lac_D_b,    ,C_e,TRUE, ,C00256
M_mal_L_b,mal_L_b,    ,C_e,TRUE, ,C00149
M_nh4_b,nh4_b,    ,C_e,TRUE, ,C01342
M_o2_b,o2_b,    ,C_e,TRUE, ,C00007
M_pi_b,pi_b,    ,C_e,TRUE, ,C00009
M_pyr_b,pyr_b,    ,C_e,TRUE, ,C00022
M_succ_b,succ_b,    ,C_e,TRUE, ,C00042
