"Metabolite Abbreviation","Metabolite Name","Charge","Compartment","Boundary Condition","FORMULA","KEGG ID"
"M_13dpg_c","3-Phospho-D-glyceroyl-phosphate","    ","C_c","false","C3H4O10P2","C00236"
"M_2pg_c","D-Glycerate-2-phosphate","    ","C_c","false","C3H4O7P","C00631"
"M_3pg_c","3-Phospho-D-glycerate","    ","C_c","false","C3H4O7P","C00197"
"M_6pgc_c","6-Phospho-D-gluconate","    ","C_c","false","C6H10O10P","C00345"
"M_6pgl_c","6-phospho-D-glucono-1-5-lactone","    ","C_c","false","C6H9O9P","C01236"
"M_ac_c","Acetate","    ","C_c","false","C2H3O2","C00033"
"M_ac_e","Acetate","    ","C_e","false","C2H3O2","C00033"
"M_acald_c","Acetaldehyde","    ","C_c","false","C2H4O","C00084"
"M_acald_e","Acetaldehyde","    ","C_e","false","C2H4O","C00084"
"M_accoa_c","Acetyl-CoA","    ","C_c","false","C23H34N7O17P3S","C00024"
"M_acon_C_c","cis-Aconitate","    ","C_c","false","C6H3O6","C00417"
"M_actp_c","Acetyl-phosphate","    ","C_c","false","C2H3O5P","C00227"
"M_adp_c","ADP","    ","C_c","false","C10H12N5O10P2","C00008"
"M_akg_c","2-Oxoglutarate","    ","C_c","false","C5H4O5","C00026"
"M_akg_e","2-Oxoglutarate","    ","C_e","false","C5H4O5","C00026"
"M_amp_c","AMP","    ","C_c","false","C10H12N5O7P","C00020"
"M_atp_c","ATP","    ","C_c","false","C10H12N5O13P3","C00002"
"M_cit_c","Citrate","    ","C_c","false","C6H5O7","C00158"
"M_co2_c","CO2","    ","C_c","false","CO2","C00011"
"M_co2_e","CO2","    ","C_e","false","CO2","C00011"
"M_coa_c","Coenzyme-A","    ","C_c","false","C21H32N7O16P3S","C00010"
"M_dhap_c","Dihydroxyacetone-phosphate","    ","C_c","false","C3H5O6P","C00111"
"M_e4p_c","D-Erythrose-4-phosphate","    ","C_c","false","C4H7O7P","C00279"
"M_etoh_c","Ethanol","    ","C_c","false","C2H6O","C00469"
"M_etoh_e","Ethanol","    ","C_e","false","C2H6O","C00469"
"M_f6p_c","D-Fructose-6-phosphate","    ","C_c","false","C6H11O9P","C00085"
"M_fdp_c","D-Fructose-1-6-bisphosphate","    ","C_c","false","C6H10O12P2","C00354"
"M_for_c","Formate","    ","C_c","false","CH1O2","C00058"
"M_for_e","Formate","    ","C_e","false","CH1O2","C00058"
"M_fru_e","D-Fructose","    ","C_e","false","C6H12O6","C00095"
"M_fum_c","Fumarate","    ","C_c","false","C4H2O4","C00122"
"M_fum_e","Fumarate","    ","C_e","false","C4H2O4","C00122"
"M_g3p_c","Glyceraldehyde-3-phosphate","    ","C_c","false","C3H5O6P","C00661"
"M_g6p_c","D-Glucose-6-phosphate","    ","C_c","false","C6H11O9P","C00092"
"M_glc_D_e","D-Glucose","    ","C_e","false","C6H12O6","C00031"
"M_gln_L_c","L-Glutamine","    ","C_c","false","C5H10N2O3","C00064"
"M_gln_L_e","L-Glutamine","    ","C_e","false","C5H10N2O3","C00064"
"M_glu_L_c","L-Glutamate","    ","C_c","false","C5H8NO4","C00025"
"M_glu_L_e","L-Glutamate","    ","C_e","false","C5H8NO4","C00025"
"M_glx_c","Glyoxylate","    ","C_c","false","C2H1O3","C00048"
"M_h2o_c","H2O","    ","C_c","false","H2O","C00001"
"M_h2o_e","H2O","    ","C_e","false","H2O","C00001"
"M_h_c","H","    ","C_c","false","H","C00080"
"M_h_e","H","    ","C_e","false","H","C00080"
"M_icit_c","Isocitrate","    ","C_c","false","C6H5O7","C00311"
"M_lac_D_c","D-Lactate","    ","C_c","false","C3H5O3","C00256"
"M_lac_D_e","D-Lactate","    ","C_e","false","C3H5O3","C00256"
"M_mal_L_c","L-Malate","    ","C_c","false","C4H4O5","C00149"
"M_mal_L_e","L-Malate","    ","C_e","false","C4H4O5","C00149"
"M_nad_c","Nicotinamide-adenine-dinucleotide","    ","C_c","false","C21H26N7O14P2","C00003"
"M_nadh_c","Nicotinamide-adenine-dinucleotide-reduced","    ","C_c","false","C21H27N7O14P2","C00004"
"M_nadp_c","Nicotinamide-adenine-dinucleotide-phosphate","    ","C_c","false","C21H25N7O17P3","C00006"
"M_nadph_c","Nicotinamide-adenine-dinucleotide-phosphate-reduced","    ","C_c","false","C21H26N7O17P3","C00005"
"M_nh4_c","Ammonium","    ","C_c","false","H4N","C01342"
"M_nh4_e","Ammonium","    ","C_e","false","H4N","C01342"
"M_o2_c","O2","    ","C_c","false","O2","C00007"
"M_o2_e","O2","    ","C_e","false","O2","C00007"
"M_oaa_c","Oxaloacetate","    ","C_c","false","C4H2O5","C00036"
"M_pep_c","Phosphoenolpyruvate","    ","C_c","false","C3H2O6P","C00074"
"M_pi_c","Phosphate","    ","C_c","false","HO4P","C00009"
"M_pi_e","Phosphate","    ","C_e","false","HO4P","C00009"
"M_pyr_c","Pyruvate","    ","C_c","false","C3H3O3","C00022"
"M_pyr_e","Pyruvate","    ","C_e","false","C3H3O3","C00022"
"M_q8_c","Ubiquinone-8","    ","C_c","false","C49H74O4","C00399"
"M_q8h2_c","Ubiquinol-8","    ","C_c","false","C49H76O4","C00390"
"M_r5p_c","alpha-D-Ribose-5-phosphate","    ","C_c","false","C5H9O8P","C00117"
"M_ru5p_D_c","D-Ribulose-5-phosphate","    ","C_c","false","C5H9O8P","C00199"
"M_s7p_c","Sedoheptulose-7-phosphate","    ","C_c","false","C7H13O10P","C00281"
"M_succ_c","Succinate","    ","C_c","false","C4H4O4","C00042"
"M_succ_e","Succinate","    ","C_e","false","C4H4O4","C00042"
"M_succoa_c","Succinyl-CoA","    ","C_c","false","C25H35N7O19P3S","C00091"
"M_xu5p_D_c","D-Xylulose-5-phosphate","    ","C_c","false","C5H9O8P","C00231"
"M_ac_b","ac_b","    ","C_e","true"," ","C00033"
"M_acald_b","acald_b","    ","C_e","true"," ","C00084"
"M_akg_b","akg_b","    ","C_e","true"," ","C00026"
"M_co2_b","co2_b","    ","C_e","true"," ","C00011"
"M_etoh_b","etoh_b","    ","C_e","true"," ","C00469"
"M_for_b","for_b","    ","C_e","true"," ","C00058"
"M_fru_b","fru_b","    ","C_e","true"," ","C00095"
"M_fum_b","fum_b","    ","C_e","true"," ","C00122"
"M_glc_D_b","glc_D_b","    ","C_e","true"," ","C00031"
"M_gln_L_b","gln_L_b","    ","C_e","true"," ","C00064"
"M_glu_L_b","glu_L_b","    ","C_e","true"," ","C00025"
"M_h2o_b","h2o_b","    ","C_e","true"," ","C00001"
"M_h_b","h_b","    ","C_e","true"," ","C00080"
"M_lac_D_b","lac_D_b","    ","C_e","true"," ","C00256"
"M_mal_L_b","mal_L_b","    ","C_e","true"," ","C00149"
"M_nh4_b","nh4_b","    ","C_e","true"," ","C01342"
"M_o2_b","o2_b","    ","C_e","true"," ","C00007"
"M_pi_b","pi_b","    ","C_e","true"," ","C00009"
"M_pyr_b","pyr_b","    ","C_e","true"," ","C00022"
"M_succ_b","succ_b","    ","C_e","true"," ","C00042"
