Metabolite name,Metabolite description,Metabolite neutral formula,Metabolite charged formula,Metabolite charge,Metabolite KEGG ID
datp[c],dATP,C10H16N5O12P3,C10H12N5O12P3,-4,C00131
idp[c],IDP,C10H14N4O11P2,C10H11N4O11P2,-3,
itp[c],ITP,C10H15N4O14P3,C10H11N4O14P3,-4,
nicrnt[c],Nicotinate D-ribonucleotide,C11H15NO9P,C11H12NO9P,-2,C01185
quln[c],Quinolinate,C7H5NO4,C7H3NO4,-2,C03722
nmn[c],NMN,C11H15N2O8P,C11H14N2O8P,-1,C00455
ncam[c],Nicotinamide,C6H6N2O,C6H6N2O,0,C00153
sbzcoa[c],O-Succinylbenzoyl-CoA,C32H44N7O20P3S,C32H39N7O20P3S,-5,
dhna[c],"1,4-Dihydroxy-2-naphthoate",C11H8O4,C11H7O4,-1,C03657  
dgsn[c],Deoxyguanosine,C10H13N5O4,C10H13N5O4,0,
orn[c],Ornithine,C5H12N2O2,C5H13N2O2,1,C01602
orot5p[c],Orotidine 5'-phosphate,C10H13N2O11P,C10H10N2O11P,-3,C01103
ump[c],UMP,C9H13N2O9P,C9H11N2O9P,-2,C00105
3ophb[c],3-Octaprenyl-4-hydroxybenzoate,C47H70O3,C47H69O3,-1,
2oph[c],2-Octaprenylphenol,C46H70O,C46H70O,0,
thmpp[c],Thiamine diphosphate,C12H18N4O7P2S,C12H16N4O7P2S,-2,
ssaltpp[c],Succinate semialdehyde-thiamin diphosphate anion,C16H24N4O10P2S,C16H21N4O10P2S,-3,
1pyr5c[c],1-Pyrroline-5-carboxylate,C5H7NO2,C5H6NO2,-1,C03912
pro-L[c],L-Proline,C5H9NO2,C5H9NO2,0,C00148
pnto-R[c],(R)-Pantothenate,C9H17NO5,C9H16NO5,-1,C00864
udcpp[c],Undecaprenyl phosphate,C55H91O4P,C55H89O4P,-2,C00348
ugmda[c],"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C41H65N9O28P2,C41H61N9O28P2,-4,C04882
uagmda[c],"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C87H143N7O23P2,C87H139N7O23P2,-4,C05897
trdrd[c],Reduced thioredoxin,XH2,XH2,0,C00342
pap[c],"Adenosine 3',5'-bisphosphate",C10H15N5O10P2,C10H11N5O10P2,-4,
so3[c],Sulfite,H2O3S,O3S,-2,C00094
trdox[c],Oxidized thioredoxin,X,X,0,C00343
pre4[c],Precorrin 4,C44H52N4O17,C44H44N4O17,-8,C06407
pre5[c],Precorrin 5,C45H54N4O17,C45H46N4O17,-8,C06416
pre3b[c],Precorrin 3B,C43H50N4O17,C43H44N4O17,-6,C06406
dscl[c],dihydrosirohydrochlorin,C42H48N4O16,C42H41N4O16,-7,C02463
pre3a[c],Precorrin 3 A,C43H50N4O16,C43H43N4O16,-7,C05772
pre6a[c],Precorrin 6A,C44H54N4O16,C44H47N4O16,-7,C06320
pre6b[c],Precorrin 6B,C44H56N4O16,C44H49N4O16,-7,C06319
pre8[c],Precorrin 8,C45H60N4O14,C45H53N4O14,-7,C06408
hgbyr[c],Hydrogenobyrinate,C45H60N4O14,C45H54N4O14,-6,C06399
lpam[c],Lipoamide,C8H15NOS2,C8H15NOS2,0,C00248
adhlam[c],S-Acetyldihydrolipoamide,C10H19NO2S2,C10H19NO2S2,0,C01136
dhlam[c],Dihydrolipoamide,C8H17NOS2,C8H17NOS2,0,C00579
pdx5p[c],Pyridoxine 5'-phosphate,C8H12NO6P,C8H10NO6P,-2,C00627
pydx5p[c],Pyridoxal 5'-phosphate,C8H10NO6P,C8H8NO6P,-2,C00018
phthr[c],O-Phospho-4-hydroxy-L-threonine,C4H10NO7P,C4H8NO7P,-2,C06055
tag6p-D[c],D-Tagatose 6-phosphate,C6H13O9P,C6H11O9P,-2,
tagdp-D[c],"D-Tagatose 1,6-biphosphate",C6H14O12P2,C6H10O12P2,-4,
3php[c],3-Phosphohydroxypyruvate,C3H5O7P,C3H2O7P,-3,C03232
2pglyc[c],2-Phosphoglycolate,C2H5O6P,C2H2O6P,-3,
pgp160[c],"Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)",C38H76O13P2,C38H73O13P2,-3,C03892
pg160[c],"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)",C38H75O10P1,C38H74O10P1,-1,
pgp161[c],"Phosphatidylglycerophosphate (dihexadec-9-enoyl, n-C16:1)",C38H72O13P2,C38H69O13P2,-3,
pg161[c],"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)",C38H71O10P1,C38H70O10P1,-1,C00344
pgp180[c],"Phosphatidylglycerophosphate (dioctadecanoyl, n-C18:0)",C42H84O13P2,C42H81O13P2,-3,C03892
pg180[c],"Phosphatidylglycerol (dioctadecanoyl, n-C18:0)",C42H83O10P1,C42H82O10P1,-1,C00344
pgp181[c],"Phosphatidylglycerophosphate (dioctadec-11-enoyl, n-C18:1)",C42H80O13P2,C42H77O13P2,-3,C03892
pg181[c],"Phosphatidylglycerol (dioctadec-enoyl, n-C18:1)",C42H79O10P1,C42H78O10P1,-1,
pgp181:9[c],"Phosphatidylglycerophosphate (dioctadec-9-enoyl, n-C18:1)",C42H80O13P2,C42H77O13P2,-3,
pg181:9[c],"Phosphatidylglycerol (dioctadec-9-enoyl, n-C18:1)",C42H79O10P1,C42H78O10P1,-1,
pgp182:9:12[c],"Phosphatidylglycerophosphate (dioctadec-9-12-dienoyl, n-C18:2)",C42H76O13P2,C42H73O13P2,-3,
pg182:9:12[c],"Phosphatidylglycerol (dioctadec-9-12-dienoyl, n-C18:2)",C42H75O10P1,C42H74O10P1,-1,
pgp183:6:9:12[c],"Phosphatidylglycerophosphate (dioctadec-6-9-12-trienoyl, n-C18:3)",C42H72O13P2,C42H69O13P2,-3,
pg183:6:9:12[c],"Phosphatidylglycerol (dioctadec-6-9-12-trienoyl, n-C18:3)",C42H71O10P1,C42H70O10P1,-1,
pgp183:9:12:15[c],"Phosphatidylglycerophosphate (dioctadec-9-12-15-trienoyl, n-C18:3)",C42H72O13P2,C42H69O13P2,-3,
pg183:9:12:15[c],"Phosphatidylglycerol (dioctadec-9-12-15-trienoyl, n-C18:3)",C42H71O10P1,C42H70O10P1,-1,
pgp184:6:9:12:15[c],"Phosphatidylglycerophosphate (dioctadec-6-9-12-15-tetraenoyl, n-C18:4)",C42H68O13P2,C42H65O13P2,-3,
pg184:6:9:12:15[c],"Phosphatidylglycerol (dioctadec-6-9-12-15-tetraenoyl, n-C18:4)",C42H67O10P1,C42H66O10P1,-1,
phbg[c],Growing PHB granule,R,R,0,
PHB[c],PHB granule,C4H4O2R,C4H4O2R,0,
phe-L[c],L-Phenylalanine,C9H11NO2,C9H11NO2,0,C00079
phpyr[c],Phenylpyruvate,C9H8O3,C9H7O3,-1,C00166
trnaphe[c],tRNA(Phe),R,R,0,C01648
phetrna[c],L-Phenylalanyl-tRNA(Phe),C9H9NOR,C9H10NOR,1,C03511
phytoe[c],Phytoene,C40H64,C40H64,0,C05413 
phytof[c],Phytofluene,C40H62,C40H62,0,C05414
prephytedp[c],Prephytoene diphosphate,C40H68O7P2,C40H65O7P2,-3,C03427
zcarote[c],zeta-Carotene,C40H60,C40H60,0,C05430
4r5au[c],4-(1-D-Ribitylamino)-5-aminouracil,C9H16N4O6,C9H16N4O6,0,C04732
4ppan[c],D-4'-Phosphopantothenate,C9H18NO8P,C9H15NO8P,-3,C03492
4ppcys[c],N-((R)-4-Phosphopantothenoyl)-L-cysteine,C12H23N2O9PS,C12H20N2O9PS,-3,C04352
pan4p[c],Pantetheine 4'-phosphate,C11H23N2O7PS,C11H21N2O7PS,-2,
r1p[c],alpha-D-Ribose 1-phosphate,C5H11O8P,C5H9O8P,-2,C00442
2hyoxplac[c],2-Hydroxyphenylacetate,C8H8O3,C8H7O3,-1,
peptido_syn[c],Peptidoglycan subunit of Synechocystis sp. PCC8603,C40H64N8O21,C40H62N8O21,-2,
peptido_syn[p],Peptidoglycan subunit of Synechocystis sp. PCC8603,C40H64N8O21,C40H62N8O21,-2,
uaagmda[c],"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala",C95H156N8O28P2,C95H152N8O28P2,-4,C05898
udcpdp[c],Undecaprenyl diphosphate,C55H92O7P2,C55H89O7P2,-3,C04574
decdp[c],all trans Decaprenyl diphosphate,C50H78O7P2,C50H81O7P2,-3,C11356
fpram[c],2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,C8H16N3O8P,C8H15N3O8P,-1,C04640
prbamp[c],1-(5-Phosphoribosyl)-AMP,C15H23N5O14P2,C15H19N5O14P2,-4,C02741
prfp[c],1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide,C15H25N5O15P2,C15H21N5O15P2,-4,
trnapro[c],tRNA(Pro),R,R,0,C01649
protrna[c],L-Prolyl-tRNA(Pro),C5H7NOR,C5H8NOR,1,C02702
rb15bp[c],"D-Ribulose 1,5-bisphosphate",C5H12O11P2,C5H8O11P2,-4,
skm5p[c],Shikimate 5-phosphate,C7H11O8P,C7H8O8P,-3,C03175
photon[c],Photon,Z,Z,0,
6pthp[c],"6-Pyruvoyl-5,6,7,8-tetrahydropterin",C9H11N5O3,C9H11N5O3,0,
pyam5p[c],Pyridoxamine 5'-phosphate,C8H13N2O5P,C8H12N2O5P,-1,
pydxn[c],Pyridoxine,C8H11NO3,C8H11NO3,0,C00314
pydx[c],Pyridoxal,C8H9NO3,C8H9NO3,0,C00250
pydam[c],Pyridoxamine,C8H12N2O2,C8H13N2O2,1,
dmlz[c],"6,7-Dimethyl-8-(1-D-ribityl)lumazine",C13H18N4O6,C13H18N4O6,0,C04332
rib-D[c],D-Ribose,C5H10O5,C5H10O5,0,C00121
xu5p-D[c],D-Xylulose 5-phosphate,C5H11O8P,C5H9O8P,-2,C00231
so4[c],Sulfate,H2O4S,O4S,-2,C00059
s7p[c],Sedoheptulose 7-phosphate,C7H15O10P,C7H13O10P,-2,C00281
sl26da[c],"N-Succinyl-LL-2,6-diaminoheptanedioate",C11H18N2O7,C11H16N2O7,-2,C04421
succ[c],Succinate,C4H6O4,C4H4O4,-2,C00042
sl2a6o[c],N-Succinyl-2-L-amino-6-oxoheptanedioate,C11H15NO8,C11H12NO8,-3,C04462
trnaser[c],tRNA(Ser),R,R,0,C01650
sertrna[c],L-Seryl-tRNA(Ser),C3H5NO2R,C3H6NO2R,1,C02553
skm[c],Shikimate,C7H10O5,C7H9O5,-1,C00493
ametam[c],S-Adenosylmethioninamine,C14H22N6O3S,C14H24N6O3S,2,C01137
5mta[c],5-Methylthioadenosine,C11H15N5O3S,C11H15N5O3S,0,C00170
spmd[c],Spermidine,C7H19N3,C7H22N3,3,C00315
udpsq[c],UDP-6-sulfoquinovose,C15H24N2O19P2S,C15H21N2O19P2S,-3,C11521  
sqdg160[c],Sulfoquinovosyldiacylglycerol (n-C16:0),C42H80O13S,C41H79O13S,-1,
sqdg161[c],Sulfoquinovosyldiacylglycerol (n-C16:1),C42H76O13S,C41H75O13S,-1,
sqdg183:6:9:12[c],Sulfoquinovosyldiacylglycerol (n-C18:3),C45H72O13S,C45H71O13S,-1,
sqdg180[c],Sulfoquinovosyldiacylglycerol (n-C18:0),C45H84O13S,C45H83O13S,-1,
sqdg181[c],Sulfoquinovosyldiacylglycerol (n-C18:1),C45H80O13S,C45H79O13S,-1,
sqdg181:9[c],Sulfoquinovosyldiacylglycerol (n-C18:1),C45H80O13S,C45H79O13S,-1,
sqdg182:9:12[c],Sulfoquinovosyldiacylglycerol (n-C18:2),C45H76O13S,C45H75O13S,-1,
sqdg183:9:12:15[c],Sulfoquinovosyldiacylglycerol (n-C18:3),C45H72O13S,C45H71O13S,-1,
sqdg184:6:9:12:15[c],Sulfoquinovosyldiacylglycerol (n-C18:4),C45H68O13S,C45H67O13S,-1,
sucbz[c],o-Succinylbenzoate,C11H10O5,C11H8O5,-2,
2shchc[c],"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate",C11H12O6,C11H10O6,-2,
succoa[c],Succinyl-CoA,C25H40N7O19P3S,C25H35N7O19P3S,-5,C00091
dtdp4d6dg[c],dTDP-4-dehydro-6-deoxy-D-glucose,C16H24N2O15P2,C16H22N2O15P2,-2,
dtdp4d6dm[c],dTDP-4-dehydro-6-deoxy-L-mannose,C16H24N2O15P2,C16H22N2O15P2,-2,
dtdprmn[c],dTDP-L-rhamnose,C16H26N2O15P2,C16H24N2O15P2,-2,
thfglu[c],Tetrahydrofolyl-[Glu](2),C24H30N8O9,C24H27N8O9,-3,
thr-L[c],L-Threonine,C4H9NO3,C4H9NO3,0,C00188
2obut[c],2-Oxobutanoate,C4H6O3,C4H5O3,-1,C00109
thrp[c],L-Threonine O-3-phosphate,C4H10NO6P,C4H8NO6P,-2,C12147
trnathr[c],tRNA(Thr),R,R,0,C01651
thrtrna[c],L-Threonyl-tRNA(Thr),C4H7NO2R,C4H8NO2R,1,C02992
tyr-L[c],L-Tyrosine,C9H11NO3,C9H11NO3,0,C00082
4hba[c],4-Hydroxy-benzyl alcohol,C7H8O2,C7H8O2,0,
4mpetz[c],4-Methyl-5-(2-phosphoethyl)-thiazole,C6H10NO4PS,C6H8NO4PS,-2,
dxyl[c],1-deoxy-D-xylulose,C5H10O4,C5H10O4,0,
4mhetz[c],4-Methyl-5-(2-hydroxyethyl)-thiazole,C6H9NOS,C6H9NOS,0,C04294
thymd[c],Thymidine,C10H14N2O5,C10H14N2O5,0,C00214
thm[c],Thiamin,C12H16N4OS,C12H17N4OS,1,
thmmp[c],Thiamin monophosphate,C12H17N4O4PS,C12H16N4O4PS,-1,
2mahmp[c],2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,C6H11N3O7P2,C6H8N3O7P2,-3,C04752
gtocophe[c],gamma-Tocopherol,C28H48O2,C28H48O2,0,C02483 
atocophe[c],alpha-Tocopherol,C29H50O2,C29H50O2,0,C02477 
dtocophe[c],delta-Tocopherol,C27H46O2,C27H46O2,0,C14151 
btocophe[c],beta-Tocopherol,C28H48O2,C28H48O2,0,C14152 
trp-L[c],L-Tryptophan,C11H12N2O2,C11H12N2O2,0,C00078
trnatrp[c],tRNA(Trp),R,R,0,
trptrna[c],L-Tryptophanyl-tRNA(Trp),C11H10N2OR,C11H11N2OR,1,
trnatyr[c],tRNA(Tyr),R,R,0,C00787
tyrtrna[c],L-Tyrosyl-tRNA(Tyr),C9H9NO2R,C9H10NO2R,1,C02839
u3hga[c],UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine,C29H51N3O18P2,C29H50N3O18P2,-1,
uamag[c],UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,C28H43N5O23P2,C28H39N5O23P2,-4,C00692
ugmd[c],"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate",C35H55N7O26P2,C35H51N7O26P2,-4,C04877
uacgam[c],UDP-N-acetyl-D-glucosamine,C17H27N3O17P2,C17H25N3O17P2,-2,C00043
acmana[c],N-Acetyl-D-mannosamine,C8H15NO6,C8H15NO6,0,
u3aga[c],UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine,C31H53N3O19P2,C31H51N3O19P2,-2,
uaccg[c],UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine,C20H29N3O19P2,C20H26N3O19P2,-3,C04631
uama[c],UDP-N-acetylmuramoyl-L-alanine,C23H36N4O20P2,C23H33N4O20P2,-3,C01212
uamr[c],UDP-N-acetylmuramate,C20H31N3O19P2,C20H28N3O19P2,-3,C01050
uGgl[c],UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine,C34H55N7O24P2,C34H52N7O24P2,-3,
uGgla[c],UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,C40H65N9O26P2,C40H62N9O26P2,-3,
uppg3[c],Uroporphyrinogen III,C40H44N4O16,C40H36N4O16,-8,C01051
uppg1[c],Uroporphyrinogen I,C40H44N4O16,C40H36N4O16,-8,C05766
cpppg1[c],Coproporphyrinogen I,C36H44N4O8,C36H40N4O8,-4,C05768
dump[c],dUMP,C9H13N2O8P,C9H11N2O8P,-2,C00365
val-L[c],L-Valine,C5H11NO2,C5H11NO2,0,C00183
trnaval[c],tRNA(Val),R,R,0,C01653
valtrna[c],L-Valyl-tRNA(Val),C5H9NOR,C5H10NOR,1,C02554
neuspn[c],Neurosporene,C40H58,C40H58,0,C05431 
cyst-L[c],L-Cystathionine,C7H14N2O4S,C7H14N2O4S,0,C02291
4adcho[c],4-amino-4-deoxychorismate,C10H11NO5,C10H10NO5,-1,C11355
cynt[c],Cyanate,CHNO,CNO,-1,
dmtphllqne[c],Demethylphylloquinone,C30H44O2,C30H44O2,0,C13309 
phllqne[c],Phylloquinone,C31H46O2,C31H46O2,0,C02059  
glc-D[p],D-Glucose,C6H12O6,C6H12O6,0,C00031
glc-D[e],D-Glucose,C6H12O6,C6H12O6,0,C00031
fru[p],D-Fructose,C6H12O6,C6H12O6,0,C00095
fru[e],D-Fructose,C6H12O6,C6H12O6,0,C00095
glu-L[p],L-Glutamate,C5H9NO4,C5H8NO4,-1,C00025
na1[p],Sodium,Na,Na,1,C01330
na1[c],Sodium,Na,Na,1,C01330
glu-L[e],L-Glutamate,C5H9NO4,C5H8NO4,-1,C00025
hco3[p],Bicarbonate,CH2O3,CHO3,-1,C00288
hco3[e],Bicarbonate,CH2O3,CHO3,-1,C00288
co2[e],CO2,CO2,CO2,0,C00011
co2[p],CO2,CO2,CO2,0,C00011
ala-L[p],L-Alanine,C3H7NO2,C3H7NO2,0,C00041
ala-L[e],L-Alanine,C3H7NO2,C3H7NO2,0,C00041
arg-L[p],L-Arginine,C6H14N4O2,C6H15N4O2,1,C00062
arg-L[e],L-Arginine,C6H14N4O2,C6H15N4O2,1,C00062
gly[p],Glycine,C2H5NO2,C2H5NO2,0,C00037
gly[e],Glycine,C2H5NO2,C2H5NO2,0,C00037
gln-L[p],L-Glutamine,C5H10N2O3,C5H10N2O3,0,C00064
gln-L[e],L-Glutamine,C5H10N2O3,C5H10N2O3,0,C00064
his-L[p],L-Histidine,C6H9N3O2,C6H9N3O2,0,C00135
his-L[e],L-Histidine,C6H9N3O2,C6H9N3O2,0,C00135
leu-L[p],L-Leucine,C6H13NO2,C6H13NO2,0,C00123
leu-L[e],L-Leucine,C6H13NO2,C6H13NO2,0,C00123
lys-L[p],L-Lysine,C6H14N2O2,C6H15N2O2,1,C00047
lys-L[e],L-Lysine,C6H14N2O2,C6H15N2O2,1,C00047
pro-L[p],L-Proline,C5H9NO2,C5H9NO2,0,C00148
pro-L[e],L-Proline,C5H9NO2,C5H9NO2,0,C00148
ser-L[p],L-Serine,C3H7NO3,C3H7NO3,0,C00065
ser-L[e],L-Serine,C3H7NO3,C3H7NO3,0,C00065
no3[p],Nitrate,NO3,NO3,-1,
no3[e],Nitrate,NO3,NO3,-1,
urea[p],Urea,CH4N2O,CH4N2O,0,C00086
urea[e],Urea,CH4N2O,CH4N2O,0,C00086
nh4[p],Ammonium,H3N,H4N,1,C01342
nh4[e],Ammonium,H3N,H4N,1,C01342
k[p],potassium,K,K,1,
k[c],potassium,K,K,1,
k[e],potassium,K,K,1,
so4[p],Sulfate,H2O4S,O4S,-2,C00059
so4[e],Sulfate,H2O4S,O4S,-2,C00059
pi[p],Phosphate,H3O4P,HO4P,-2,C00009
pi[e],Phosphate,H3O4P,HO4P,-2,C00009
mobd[p],Molybdate,MoO4,MoO4,-2,
mobd[c],Molybdate,MoO4,MoO4,-2,
mobd[e],Molybdate,MoO4,MoO4,-2,
fe3[p],Fe3+,Fe,Fe,3,
fe3[c],Fe3+,Fe,Fe,3,
fe3[e],Fe3+,Fe,Fe,3,
fe2[p],Fe2+,Fe,Fe,2,
fe2[e],Fe2+,Fe,Fe,2,
na1[e],Sodium,Na,Na,1,C01330
mn2[p],Mn2+,Mn,Mn,2,
mn2[c],Mn2+,Mn,Mn,2,
mn2[e],Mn2+,Mn,Mn,2,
mg2[e],magnesium,Mg,Mg,2,
mg2[p],magnesium,Mg,Mg,2,
o2[e],O2,O2,O2,0,C00007
h2o[e],H2O,H2O,H2O,0,C00001
ptrc[p],Putrescine,C4H12N2,C4H14N2,2,C00134
ptrc[e],Putrescine,C4H12N2,C4H14N2,2,C00134
spmd[p],Spermidine,C7H19N3,C7H22N3,3,C00315
spmd[e],Spermidine,C7H19N3,C7H22N3,3,C00315
cu2[p],Cu2+,Cu,Cu,2,
cu2[c],Cu2+,Cu,Cu,2,
cu2[e],Cu2+,Cu,Cu,2,
cu2[u],Cu2+,Cu,Cu,2,
zn2[p],Zinc,Zn,Zn,2,
zn2[c],Zinc,Zn,Zn,2,
zn2[e],Zinc,Zn,Zn,2,
cobalt2[p],Co2+,Co,Co,2,C00175
cobalt2[e],Co2+,Co,Co,2,C00175
ni2[p],nickel,Ni,Ni,2,
ni2[c],nickel,Ni,Ni,2,
ni2[e],nickel,Ni,Ni,2,
ca2[p],Calcium,Ca,Ca,2,
ca2[c],Calcium,Ca,Ca,2,
ca2[e],Calcium,Ca,Ca,2,
ac[p],Acetate,C2H4O2,C2H3O2,-1,C00033
ac[e],Acetate,C2H4O2,C2H3O2,-1,C00033
photon[e],Photon,Z,Z,0,
photon[p],Photon,Z,Z,0,
cynt[p],Cyanate,CHNO,CNO,-1,
cynt[e],Cyanate,CHNO,CNO,-1,
cit[e],Citrate,C6H8O7,C6H5O7,-3,C00158
cit[p],Citrate,C6H8O7,C6H5O7,-3,C00158
h2[p],H2,H2,H2,0,C00282
h2[e],H2,H2,H2,0,C00282
h[e],H+,H,H,1,C00080
h2s[e],Hydrogen sulfide,H2S,H2S,0,
pyr[e],Pyruvate,C3H4O3,C3H3O3,-1,C00022
fum[e],Fumarate,C4H4O4,C4H2O4,-2,C00122
succ[e],Succinate,C4H6O4,C4H4O4,-2,C00042
mal-L[p],L-Malate,C4H6O5,C4H4O5,-2,C00149
mal-L[e],L-Malate,C4H6O5,C4H4O5,-2,C00149
akg[p],2-Oxoglutarate,C5H6O5,C5H4O5,-2,C00026
akg[e],2-Oxoglutarate,C5H6O5,C5H4O5,-2,C00026
succ[p],Succinate,C4H6O4,C4H4O4,-2,C00042
pyr[p],Pyruvate,C3H4O3,C3H3O3,-1,C00022
fum[p],Fumarate,C4H4O4,C4H2O4,-2,C00122
h2s[p],Hydrogen sulfide,H2S,H2S,0,
cytd[c],Cytidine,C9H13N3O5,C9H13N3O5,0,C00475
oxa[c],Oxalate,C2O4H2,C2O4,-2,C00209
dna[c],DNA,C10H17O8PR2,C10H17O8PR2,0,C00039
dna5mtc[c],DNA 5-methylcytosine,C11H19O8PR2,C11H19O8PR2,0,C02967
achms[c],achms,C6H11NO4,C6H11NO4,0,C01077
5mdru1p[c],5-Methylthio-5-deoxy-D-ribulose 1-phosphate,C6H13O7PS,C6H11O7PS,-2,C04582 
5mdr1p[c],5-Methylthio-5-deoxy-D-ribose 1-phosphate,C6H13O7PS,C6H11O7PS,-2,C04188 
suc6p[c],Sucrose 6-phosphate,C12H23O14P,C12H21O14P,-2,C02591
sucr[c],Sucrose,C12H22O11,C12H22O11,0,C00089
glcglycp[c],2-(beta-D-Glucosyl)-sn-glycerol 3-phosphate,C9H19O11P,C9H17O11P,-2,C10517 
glcglyc[c],2-(beta-D-Glucosyl)-sn-glycerol,C9H18O8,C9H18O8,0,C11546 
glcglyc[p],2-(beta-D-Glucosyl)-sn-glycerol,C9H18O8,C9H18O8,0,C11546 
glcglyc[e],2-(beta-D-Glucosyl)-sn-glycerol,C9H18O8,C9H18O8,0,C11546 
sucr[e],Sucrose,C12H22O11,C12H22O11,0,C00089
sucr[p],Sucrose,C12H22O11,C12H22O11,0,C00089
sql[c],Squalene,C30H50,C30H50,0,C00751
dptne[c],Diploptene,C30H50,C30H50,0,C06310 
dpterol[c],Diplopterol,C30H52O,C30H52O,0,C06309
