Compound ID,Description
C00001,H2O
C00002,ATP
C00003,NAD+
C00004,NADH
C00005,NADPH
C00006,NADP+
C00007,O2
C00008,ADP
C00009,phosphate
C00010,CoA
C00011,CO2
C00013,diphosphate
C00014,NH3
C00015,UDP
C00016,FAD
C00018,pyridoxal-phosphate
C00019,S-adenosyl-L-methionine
C00020,AMP
C00021,S-adenosyl-L-homocysteine
C00022,pyruvate
C00024,acetyl-CoA
C00025,L-glutamate
C00026,2-oxoglutarate
C00027,H2O2
C00028,acceptor
C00029,UDP-glucose
C00030,reduced-acceptor
C00031,D-glucose
C00032,heme
C00033,acetate
C00035,GDP
C00036,oxaloacetate
C00037,glycine
C00040,acyl-CoA
C00041,L-alanine
C00042,succinate
C00043,UDP-N-acetyl-D-glucosamine
C00044,GTP
C00047,L-lysine
C00049,L-aspartate
C00051,glutathione
C00052,UDP-D-galactose
C00053,3-phosphoadenylyl-sulfate
C00055,CMP
C00058,formate
C00059,sulfate
C00060,acyl
C00062,L-arginine
C00063,CTP
C00064,L-glutamine
C00065,L-serine
C00070,Cu2+
C00073,L-methionine
C00074,phosphoenolpyruvate
C00075,UTP
C00076,Ca2+
C00077,L-ornithine
C00078,L-tryptophan
C00079,L-phenylalanine
C00080,H+
C00081,ITP
C00082,L-tyrosine
C00083,malonyl-CoA
C00084,acetaldehyde
C00085,D-fructose-6-phosphate
C00091,succinyl-CoA
C00092,D-glucose-6-phosphate
C00093,sn-glycerol-3-phosphate
C00094,sulfite
C00096,GDP-mannose
C00097,L-cysteine
C00099,beta-alanine
C00100,propanoyl-CoA
C00101,tetrahydrofolate
C00103,D-glucose-1-phosphate
C00104,IDP
C00105,UMP
C00106,uracil
C00109,2-oxobutanoate
C00110,dolichyl-phosphate
C00111,glycerone-phosphate
C00112,CDP
C00114,choline
C00117,D-ribose-5-phosphate
C00118,D-glyceraldehyde-3-phosphate
C00119,5-phospho-alpha-D-ribose-1-diphosphate
C00121,D-ribose
C00122,fumarate
C00123,L-leucine
C00125,ferricytochrome-c
C00126,ferrocytochrome-c
C00127,glutathione-disulfide
C00129,isopentenyl-diphosphate
C00130,IMP
C00131,dATP
C00134,putrescine
C00135,L-histidine
C00137,myo-inositol
C00138,reduced-ferredoxin
C00139,oxidized-ferredoxin
C00141,3-methyl-2-oxobutanoic-acid
C00143,"5,10-methylenetetrahydrofolate"
C00144,GMP
C00147,adenine
C00148,L-proline
C00149,(S)-malate
C00152,L-asparagine
C00153,nicotinamide
C00154,palmitoyl-CoA
C00155,L-homocysteine
C00157,phosphatidylcholine
C00158,citrate
C00164,acetoacetate
C00169,carbamoyl-phosphate
C00183,L-valine
C00186,(S)-lactate
C00187,cholesterol
C00188,L-threonine
C00195,N-acylsphingosine
C00197,3-phospho-D-glycerate
C00199,D-ribulose-5-phosphate
C00206,dADP
C00212,adenosine
C00219,arachidonic-acid
C00224,adenylyl-sulfate
C00227,acetyl-phosphate
C00229,[acp]
C00231,D-xylulose-5-phosphate
C00233,4-methyl-2-oxopentanoic-acid
C00235,dimethylallyl-diphosphate
C00236,3-phospho-D-glyceroyl-phosphate
C00238,K+
C00239,dCMP
C00242,guanine
C00249,palmitic-acid
C00251,chorismate
C00253,nicotinate
C00256,(R)-lactate
C00262,hypoxanthine
C00263,L-homoserine
C00264,3-oxoacyl-CoA
C00266,glycolaldehyde
C00268,dihydrobiopterin
C00269,CDP-diacylglycerol
C00272,tetrahydrobiopterin
C00275,D-mannose-6-phosphate
C00279,D-erythrose-4-phosphate
C00286,dGTP
C00288,HCO3-
C00294,inosine
C00295,orotate
C00299,uridine
C00307,CDP-choline
C00311,isocitrate
C00315,spermidine
C00320,thiosulfate
C00327,L-citrulline
C00330,deoxyguanosine
C00332,acetoacetyl-CoA
C00334,4-aminobutanoate
C00337,(S)-dihydroorotate
C00341,geranyl-diphosphate
C00342,thioredoxin
C00343,thioredoxin-disulfide
C00345,6-phospho-D-gluconate
C00349,2-methyl-3-oxopropanoate
C00350,phosphatidylethanolamine
C00352,D-glucosamine-6-phosphate
C00353,geranylgeranyl-diphosphate
C00354,"D-fructose-1,6-bisphosphate"
C00355,"3,4-dihydroxy-L-phenylalanine"
C00356,(S)-3-hydroxy-3-methylglutaryl-CoA
C00357,N-acetyl-D-glucosamine-6-phosphate
C00360,dAMP
C00361,dGDP
C00362,dGMP
C00363,dTDP
C00364,dTMP
C00365,dUMP
C00385,xanthine
C00387,guanosine
C00390,ubiquinol
C00399,ubiquinone
C00407,L-isoleucine
C00415,dihydrofolate
C00416,phosphatidate
C00430,5-aminolevulinate
C00438,N-carbamoyl-L-aspartate
C00441,L-aspartate-4-semialdehyde
C00447,"sedoheptulose-1,7-bisphosphate"
C00448,"trans,trans-farnesyl-diphosphate"
C00455,nicotinamide-D-ribonucleotide
C00458,dCTP
C00459,dTTP
C00460,dUTP
C00469,ethanol
C00475,cytidine
C00493,shikimate
C00498,ADP-glucose
C00504,folate
C00510,oleoyl-CoA
C00522,(R)-pantoate
C00526,deoxyuridine
C00546,methylglyoxal
C00550,sphingomyelin
C00555,4-aminobutyraldehyde
C00559,deoxyadenosine
C00568,4-aminobenzoate
C00575,"3,5-cyclic-AMP"
C00588,phosphocholine
C00612,N1-acetylspermidine
C00620,alpha-D-ribose-1-phosphate
C00630,2-methylpropanoyl-CoA
C00631,2-phospho-D-glycerate
C00636,D-mannose-1-phosphate
C00640,(3S)-3-hydroxyacyl-CoA
C00641,"1,2-diacyl-sn-glycerol"
C00655,XMP
C00658,"trans-2,3-dehydroacyl-CoA"
C00666,"LL-2,6-diaminoheptanedioate"
C00669,gamma-L-glutamyl-L-cysteine
C00670,sn-glycero-3-phosphocholine
C00671,(S)-3-methyl-2-oxopentanoic-acid
C00672,2-deoxy-D-ribose-1-phosphate
C00673,2-deoxy-D-ribose-5-phosphate
C00680,"meso-2,6-diaminoheptanedioate"
C00681,1-acyl-sn-glycerol-3-phosphate
C00704,O2.-
C00705,dCDP
C00712,oleic-acid
C00750,spermine
C00836,sphinganine
C00857,deamino-NAD+
C00864,pantothenate
C00882,dephospho-CoA
C00921,dihydropteroate
C00931,porphobilinogen
C00942,"3,5-cyclic-GMP"
C00944,3-dehydroquinate
C00957,mercaptopyruvate
C00966,2-dehydropantoate
C00986,"1,3-diaminopropane"
C01005,O-phospho-L-serine
C01024,hydroxymethylbilane
C01051,uroporphyrinogen-III
C01077,O-acetyl-L-homoserine
C01079,protoporphyrinogen-IX
C01102,O-phospho-L-homoserine
C01103,orotidine-5-phosphate
C01134,pantetheine-4-phosphate
C01165,L-glutamate-5-semialdehyde
C01185,nicotinate-D-ribonucleotide
C01188,3-hydroxy-2-methylpropanoate
C01194,1-phosphatidyl-1D-myo-inositol
C01203,oleoyl-[acp]
C01209,malonyl-[acp]
C01236,"D-glucono-1,5-lactone-6-phosphate"
C01242,S-aminomethyldihydrolipoylprotein
C01245,"D-myo-inositol-1,4,5-trisphosphate"
C01246,dolichyl-beta-D-glucosyl-phosphate
C01269,5-O-(1-carboxyvinyl)-3-phosphoshikimate
C01277,1-phosphatidyl-1D-myo-inositol-4-phosphate
C01288,N-acetyl-D-glucosaminylphosphatidylinositol
C01300,"2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine"
C01346,dUDP
C01352,FADH2
C01530,stearic-acid
C01595,linoleic-acid
C01762,xanthosine
C01801,deoxyribose
C02050,linoleoyl-CoA
C02191,protoporphyrin
C02225,2-methylcitrate
C02291,L-cystathionine
C02567,N1-acetylspermine
C02637,3-dehydroshikimate
C02679,dodecanoic-acid
C02714,N-acetylputrescine
C02737,phosphatidylserine
C02934,3-dehydrosphinganine
C02939,3-methylbutanoyl-CoA
C03035,gamma-linolenoyl-CoA
C03069,3-methylcrotonyl-CoA
C03082,4-phospho-L-aspartate
C03150,N-ribosylnicotinamide
C03175,shikimate-3-phosphate
C03231,3-methylglutaconyl-CoA
C03232,3-phosphonooxypyruvate
C03263,coproporphyrinogen-III
C03287,L-glutamyl-5-phosphate
C03340,"L-2,3-dihydrodipicolinate"
C03344,2-methylacetoacetyl-CoA
C03345,2-methylbut-2-enoyl-CoA
C03451,(R)-S-lactoylglutathione
C03460,methacrylyl-Coa
C03492,D-4-phosphopantothenate
C03684,6-pyruvoyltetrahydropterin
C03794,"N6-(1,2-Dicarboxyethyl)-AMP"
C03862,dolichyl-phosphate-D-mannose
C03892,phosphatidylglycerophosphate
C03912,(S)-1-pyrroline-5-carboxylate
C03972,"2,3,4,5-tetrahydrodipicolinate"
C04006,1D-myo-inositol-3-phosphate
C04047,3-hydroxy-2-methylpropanoyl-CoA
C04088,stearoyl-[acp]
C04225,cis-2-methylaconitate
C04230,1-acyl-sn-glycero-3-phosphocholine
C04233,2-acyl-sn-glycero-3-phosphocholine
C04246,but-2-enoyl-[acp]
C04248,6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol
C04256,N-acetyl-D-glucosamine-1-phosphate
C04352,(R)-4-phosphopantothenoyl-L-cysteine
C04405,(S)-3-hydroxy-2-methylbutyryl-CoA
C04421,"N-succinyl-LL-2,6-diaminoheptanedioate"
C04462,N-succinyl-L-2-amino-6-oxoheptanedioate
C04500,N-acetyl-D-glucosaminyldiphosphodolichol
C04537,"N,N-diacetylchitobiosyldiphosphodolichol"
C04549,1-phosphatidyl-1D-myo-inositol-3-phosphate
C04574,"di-trans,poly-cis-undecaprenyl-diphosphate"
C04593,methylisocitrate
C04618,(3R)-3-hydroxybutanoyl-[acp]
C04619,(3R)-3-hydroxydecanoyl-[acp]
C04620,(3R)-3-hydroxyoctanoyl-[acp]
C04633,(3R)-3-hydroxypalmitoyl-[acp]
C04637,"1-phosphatidyl-1D-myo-inositol-4,5-bisphosphate"
C04688,(3R)-3-hydroxytetradecanoyl-[acp]
C04691,2-dehydro-3-deoxy-D-arabino-heptonate-7-phosphate
C04807,"2-amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine"
C04874,dihydroneopterin
C04895,"7,8-dihydroneopterin-3-triphosphate"
C05223,dodecanoyl-[acp]
C05382,sedoheptulose-7-phosphate
C05512,deoxyinosine
C05665,3-aminopropanal
C05744,acetoacetyl-[acp]
C05745,butyryl-[acp]
C05746,3-oxohexanoyl-[acp]
C05747,(3R)-3-hydroxyhexanoyl-[acp]
C05748,trans-hex-2-enoyl-[acp]
C05749,hexanoyl-[acp]
C05750,3-oxooctanoyl-[acp]
C05751,trans-oct-2-enoyl-[acp]
C05752,octanoyl-[acp]
C05753,3-oxodecanoyl-[acp]
C05754,trans-dec-2-enoyl-[acp]
C05755,decanoyl-[acp]
C05756,3-oxododecanoyl-[acp]
C05757,(3R)-3-hydroxydodecanoyl-[acp]
C05758,trans-dodec-2-enoyl-[acp]
C05759,3-oxotetradecanoyl-[acp]
C05760,trans-tetradec-2-enoyl-[acp]
C05761,tetradecanoyl-[acp]
C05762,3-oxohexadecanoyl-[acp]
C05763,trans-hexadec-2-enoyl-[acp]
C05764,hexadecanoyl-[acp]
C05841,nicotinate-D-ribonucleoside
C05860,beta-D-mannosyldiacetylchitobiosyldiphosphodolichol
C06197,"P1,P3-bis(5-adenosyl)-triphosphate"
C06424,tetradecanoic-acid
C06697,arsenite
C11355,4-amino-4-deoxychorismate
C11356,"trans,trans,cis-geranylgeranyl-diphosphate"
C11434,2-C-methyl-D-erythritol-4-phosphate
C11435,4-(cytidine-5-diphospho)-2-C-methyl-D-erythritol
C11436,2-phospho-4-(cytidine-5-diphospho)-2-C-methyl-D-erythritol
C11437,1-deoxy-D-xylulose-5-phosphate
C11453,"2-C-methyl-D-erythritol-2,4-cyclodiphosphate"
C11811,1-hydroxy-2-methyl-2-butenyl-4-diphosphate
C12126,dihydroceramide
C14818,Fe2+
C15522,4a-hydroxytetrahydrobiopterin
C15975,protein-N6-(S-[3-methylbutanoyl]dihydrolipoyl)lysine
C15977,protein-N6-(S-[2-methylpropanoyl]dihydrolipoyl)lysine
C15979,protein-N6-(S-[2-methylbutanoyl]dihydrolipoyl)lysine
C15980,(S)-2-methylbutanoyl-CoA
C16219,3-oxostearoyl-[acp]
C16220,(3R)-3-hydroxyoctadecanoyl-[acp]
C16221,trans-octadec-2-enoyl-[acp]
C16237,protein-N6-(lipoyl)lysine
C16254,protein-N6-(S-succinyldihydrolipoyl)lysine
C16255,protein-N6-(S-acetyldihydrolipoyl)lysine
C16832,protein-N6-(dihydrolipoyl)lysine
C18170,3-acetamidopropanal
DNA,DNA
EMs,Essential molecules
GAM,Growth-associated maintenance
Lipids,Lipids
Proteins,Proteins
RNA,RNA
xenobiotic,xenobiotic
