"Reaction Abbreviation","EC Number"
"R_KARA1","1.1.1.86"
"R_KARA2","1.1.1.86"
"R_KAS14","2.3.1.41"
"R_KAT1","2.3.1.16"
"R_KAT2","2.3.1.16"
"R_KAT3","2.3.1.16"
"R_KAT4","2.3.1.16"
"R_KAT5","2.3.1.16"
"R_KAT6","2.3.1.16"
"R_KAT7","2.3.1.16"
"R_KAT8","2.3.1.16"
"R_KDOCT2","2.7.7.38"
"R_KDOPP","3.1.3.45"
"R_KDOPS","4.1.2.16"
"R_LACZ","3.2.1.23"
"R_LACZpp","3.2.1.108"
"R_LALDO2x","1.1.1.21"
"R_LALDO3","1.1.1.21"
"R_LCADi","1.2.1.21"
"R_LCARR","1.1.1.77"
"R_LCARS","1.1.1.77"
"R_LDH_D","1.1.1.28"
"R_LDH_D2","1.1.2.4"
"R_LEUTAi","2.6.1.42"
"R_LEUTRS","6.1.1.4"
"R_LGTHL","4.4.1.5"
"R_LPADSS","2.4.1.182"
"R_LPLIPAL1A120pp","3.1.1.5"
"R_LPLIPAL1A140pp","3.1.1.5"
"R_LPLIPAL1A141pp","3.1.1.5"
"R_LPLIPAL1A160pp","3.1.1.5"
"R_LPLIPAL1A161pp","3.1.1.5"
"R_LPLIPAL1A180pp","3.1.1.5"
"R_LPLIPAL1A181pp","3.1.1.5"
"R_LPLIPAL1E120pp","3.1.1.5"
"R_LPLIPAL1E140pp","3.1.1.5"
"R_LPLIPAL1E141pp","3.1.1.5"
"R_LPLIPAL1E160pp","3.1.1.5"
"R_LPLIPAL1E161pp","3.1.1.5"
"R_LPLIPAL1E180pp","3.1.1.5"
"R_LPLIPAL1E181pp","3.1.1.5"
"R_LPLIPAL1G120pp","3.1.1.5"
"R_LPLIPAL1G140pp","3.1.1.5"
"R_LPLIPAL1G141pp","3.1.1.5"
"R_LPLIPAL1G160pp","3.1.1.5"
"R_LPLIPAL1G161pp","3.1.1.5"
"R_LPLIPAL1G180pp","3.1.1.5"
"R_LPLIPAL1G181pp","3.1.1.5"
"R_LPLIPAL2A120","3.1.1.5"
"R_LPLIPAL2A140","3.1.1.5"
"R_LPLIPAL2A141","3.1.1.5"
"R_LPLIPAL2A160","3.1.1.5"
"R_LPLIPAL2A161","3.1.1.5"
"R_LPLIPAL2A180","3.1.1.5"
"R_LPLIPAL2A181","3.1.1.5"
"R_LPLIPAL2E120","3.1.1.5"
"R_LPLIPAL2E140","3.1.1.5"
"R_LPLIPAL2E141","3.1.1.5"
"R_LPLIPAL2E160","3.1.1.5"
"R_LPLIPAL2E161","3.1.1.5"
"R_LPLIPAL2E180","3.1.1.5"
"R_LPLIPAL2E181","3.1.1.5"
"R_LPLIPAL2G120","3.1.1.5"
"R_LPLIPAL2G140","3.1.1.5"
"R_LPLIPAL2G141","3.1.1.5"
"R_LPLIPAL2G160","3.1.1.5"
"R_LPLIPAL2G161","3.1.1.5"
"R_LPLIPAL2G180","3.1.1.5"
"R_LPLIPAL2G181","3.1.1.5"
"R_LYSDC","4.1.1.18"
"R_LYSTRS","6.1.1.6"
"R_L_DASH_LACD2","1.1.2.3"
"R_L_DASH_LACD3","1.1.2.3"
"R_L_LACD2","1.1.2.3"
"R_L_LACD3","1.1.2.3"
"R_M1PD","1.1.1.17"
"R_MALDDH","1.1.1.83"
"R_MALS","4.1.3.2"
"R_MALTATr","2.3.1.79"
"R_MAN1PT2","2.7.7.22"
"R_MAN6PI","5.3.1.8"
"R_MANAO","1.1.1.57"
"R_MCITD","4.2.1.79"
"R_MCITL2","4.1.3.30"
"R_MCITS","4.1.3.31"
"R_MCOATA","2.3.1.39"
"R_MCPST","2.8.1.2"
"R_MDDCP1pp","3.4.16.4"
"R_MDDCP2pp","3.4.16.4"
"R_MDDCP3pp","3.4.16.4"
"R_MDDCP4pp","3.4.16.4"
"R_MDDCP5pp","3.4.16.4"
"R_MDH","1.1.1.37"
"R_MDH2","1.1.99.16"
"R_MDH3","1.1.99.16"
"R_ME1","1.1.1.38"
"R_ME2","1.1.1.40"
"R_METAT","2.5.1.6"
"R_METS","2.1.1.13"
"R_METSOXR1","1.8.4.5"
"R_METTRS","6.1.1.10"
"R_MGSA","4.2.3.3"
"R_MI1PP","3.1.3.25"
"R_MICITD","4.2.1.99"
"R_MICITDr","4.2.1.99"
"R_MLDCP1App","3.4.17.13"
"R_MLDCP1Bpp","3.4.17.13"
"R_MLDCP2App","3.4.17.13"
"R_MLDCP2Bpp","3.4.17.13"
"R_MLDCP3App","3.4.17.13"
"R_MMCD","4.1.1.41"
"R_MME","5.1.99.1"
"R_MMM","5.4.99.2"
"R_MMM2","5.4.99.2"
"R_MNNH","4.2.1.8"
"R_MOHMT","2.1.2.11"
"R_MOX","1.1.3.3"
"R_MTAN","3.2.2.16"
"R_MTHFC","3.5.4.9"
"R_MTHFD","1.5.1.5"
"R_MTHFR2","1.5.1.20"
"R_MTRI","5.3.1.23"
"R_MTRK","2.7.1.100"
"R_MTRPOX","1.5.3.2"
"R_NADDP","3.6.1.22"
"R_NADH10","1.6.5.3"
"R_NADH16pp","1.6.5.3"
"R_NADH17pp","1.6.5.3"
"R_NADH18pp","1.6.5.3"
"R_NADH5","1.6.5.3"
"R_NADH9","1.6.5.3"
"R_NADK","2.7.1.23"
"R_NADN","3.2.2.5"
"R_NADPHQR2","1.6.99.6"
"R_NADPHQR3","1.6.99.6"
"R_NADPHQR4","1.6.99.6"
"R_NADS1","6.3.1.5"
"R_NADTRHD","1.6.1.2 1.6.1.1"
"R_NAMNPP","2.4.2.11"
"R_NDPK1","2.7.4.6"
"R_NDPK2","2.7.4.6"
"R_NDPK3","2.7.4.6"
"R_NDPK4","2.7.4.6"
"R_NDPK5","2.7.4.6"
"R_NDPK6","2.7.4.6"
"R_NDPK7","2.7.4.6"
"R_NDPK8","2.7.4.6"
"R_NMNAT","2.7.7.1"
"R_NMNDA","3.5.1.42"
"R_NMNN","3.2.2.14"
"R_NMNt7pp","3.2.2.14"
"R_NNAM","3.5.1.19"
"R_NNATr","2.7.7.18"
"R_NNDPR","2.4.2.19"
"R_NO3R1bpp","1.7.99.4"
"R_NO3R1pp","1.7.99.4"
"R_NO3R2bpp","1.7.99.4"
"R_NODOx","1.14.12.17"
"R_NODOy","1.14.12.17"
"R_NPHS","4.1.3.36"
"R_NTD1","3.1.3.5"
"R_NTD10","3.1.3.5"
"R_NTD10pp","3.1.3.5"
"R_NTD11","3.1.3.5"
"R_NTD11pp","3.1.3.5"
"R_NTD12","3.1.3.5"
"R_NTD12pp","3.1.3.5"
"R_NTD1pp","3.1.3.5"
"R_NTD2","3.1.3.5"
"R_NTD2pp","3.1.3.5"
"R_NTD3","3.1.3.5"
"R_NTD3pp","3.1.3.5"
"R_NTD4","3.1.3.5"
"R_NTD4pp","3.1.3.5"
"R_NTD5","3.1.3.5"
"R_NTD5pp","3.1.3.5"
"R_NTD6","3.1.3.5"
"R_NTD6pp","3.1.3.5"
"R_NTD7","3.1.3.5"
"R_NTD7pp","3.1.3.5"
"R_NTD8","3.1.3.5"
"R_NTD8pp","3.1.3.5"
"R_NTD9","3.1.3.5"
"R_NTD9pp","3.1.3.5"
"R_NTP1","3.6.1.15"
"R_NTP10","3.6.1.15"
"R_NTP11","3.6.1.15"
"R_NTP12","3.6.1.15"
"R_NTP3","3.6.1.15"
"R_NTP3pp","3.6.1.15"
"R_NTP5","3.6.1.15"
"R_NTPP10","3.6.1.19"
"R_NTPP11","3.6.1.19"
"R_NTPP9","3.6.1.19"
"R_NTPTP1","3.1.5.1"
"R_NTPTP2","3.1.5.1"
"R_OAADC","4.1.1.3"
"R_OCBT","2.1.3.3"
"R_ODECOAI","5.3.3.8"
"R_OGMEACPD","4.2.1.59"
"R_OGMEACPR","1.1.1.100"
"R_OHPBAT","2.6.1.52"
"R_OMPDC","4.1.1.23"
"R_OP4ENH","4.2.1.80"
"R_OPMEACPD","4.2.1.59"
"R_OPMEACPR","1.1.1.100"
"R_OPMEACPS","2.3.1.41"
"R_ORNDC","4.1.1.17"
"R_ORPT","2.4.2.10"
"R_OXAMTC","2.1.3.5"
"R_OXCDC","4.1.1.8"
"R_OXGDC2","4.1.1.71"
"R_P5CD","1.5.1.12"
"R_P5CR","1.5.1.2"
"R_PACCOAL","6.2.1.30"
"R_PANTS","6.3.2.1"
"R_PAPA120","3.1.3.4"
"R_PAPA120pp","3.1.3.4"
"R_PAPA140","3.1.3.4"
"R_PAPA140pp","3.1.3.4"
"R_PAPA141","3.1.3.4"
"R_PAPA141pp","3.1.3.4"
"R_PAPA160","3.1.3.4"
"R_PAPA160pp","3.1.3.4"
"R_PAPA161","3.1.3.4"
"R_PAPA161pp","3.1.3.4"
"R_PAPA180","3.1.3.4"
"R_PAPA180pp","3.1.3.4"
"R_PAPA181","3.1.3.4"
"R_PAPA181pp","3.1.3.4"
"R_PAPPT3","2.7.8.13"
"R_PAPSR","1.8.4.8"
"R_PAPSR2","1.8.4.8"
"R_PDE1","3.1.4.17"
"R_PDE4","3.1.4.17"
"R_PDH","1.2.4.1 2.3.1.12 1.8.1.4"
"R_PDX5POi","1.4.3.5"
"R_PEAMNOpp","1.4.3.6"
"R_PFK","2.7.1.11"
"R_PFK_2","2.7.1.11"
"R_PFK_3","2.7.1.11"
"R_PFL","1.97.1.4 2.3.1.54"
"R_PGAMT","5.4.2.10"
"R_PGCD","1.1.1.95"
"R_PGI","5.3.1.9"
"R_PGK","2.7.2.3"
"R_PGL","3.1.1.31"
"R_PGLYCP","3.1.3.18"
"R_PGM","5.4.2.1"
"R_PGMT","5.4.2.2"
"R_PGPP120","3.1.3.27"
"R_PGPP120pp","3.1.3.27"
"R_PGPP140","3.1.3.27"
"R_PGPP140pp","3.1.3.27"
"R_PGPP141","3.1.3.27"
"R_PGPP141pp","3.1.3.27"
"R_PGPP160","3.1.3.27"
"R_PGPP160pp","3.1.3.27"
"R_PGPP161","3.1.3.27"
"R_PGPP161pp","3.1.3.27"
"R_PGPP180","3.1.3.27"
"R_PGPP180pp","3.1.3.27"
"R_PGPP181","3.1.3.27"
"R_PGPP181pp","3.1.3.27"
"R_PGSA120","2.7.8.5"
"R_PGSA140","2.7.8.5"
"R_PGSA141","2.7.8.5"
"R_PGSA160","2.7.8.5"
"R_PGSA161","2.7.8.5"
"R_PGSA180","2.7.8.5"
"R_PGSA181","2.7.8.5"
"R_PHETA1","2.6.1.58"
"R_PHETRS","6.1.1.20"
"R_PLIPA1A120pp","3.1.1.32"
"R_PLIPA1A140pp","3.1.1.32"
"R_PLIPA1A141pp","3.1.1.32"
"R_PLIPA1A160pp","3.1.1.32"
"R_PLIPA1A161pp","3.1.1.32"
"R_PLIPA1A180pp","3.1.1.32"
"R_PLIPA1A181pp","3.1.1.32"
"R_PLIPA1E120pp","3.1.1.32"
"R_PLIPA1E140pp","3.1.1.32"
"R_PLIPA1E141pp","3.1.1.32"
"R_PLIPA1E160pp","3.1.1.32"
"R_PLIPA1E161pp","3.1.1.32"
"R_PLIPA1E180pp","3.1.1.32"
"R_PLIPA1E181pp","3.1.1.32"
"R_PLIPA1G120pp","3.1.1.32"
"R_PLIPA1G140pp","3.1.1.32"
"R_PLIPA1G141pp","3.1.1.32"
"R_PLIPA1G160pp","3.1.1.32"
"R_PLIPA1G161pp","3.1.1.32"
"R_PLIPA1G180pp","3.1.1.32"
"R_PLIPA1G181pp","3.1.1.32"
"R_PLIPA2A120pp","3.1.1.4"
"R_PLIPA2A140pp","3.1.1.4"
"R_PLIPA2A141pp","3.1.1.4"
"R_PLIPA2A160pp","3.1.1.4"
"R_PLIPA2A161pp","3.1.1.4"
"R_PLIPA2A180pp","3.1.1.4"
"R_PLIPA2A181pp","3.1.1.4"
"R_PLIPA2E120pp","3.1.1.4"
"R_PLIPA2E140pp","3.1.1.4"
"R_PLIPA2E141pp","3.1.1.4"
"R_PLIPA2E160pp","3.1.1.4"
"R_PLIPA2E161pp","3.1.1.4"
"R_PLIPA2E180pp","3.1.1.4"
"R_PLIPA2E181pp","3.1.1.4"
"R_PLIPA2G120pp","3.1.1.4"
"R_PLIPA2G140pp","3.1.1.4"
"R_PLIPA2G141pp","3.1.1.4"
"R_PLIPA2G160pp","3.1.1.4"
"R_PLIPA2G161pp","3.1.1.4"
"R_PLIPA2G180pp","3.1.1.4"
"R_PLIPA2G181pp","3.1.1.4"
"R_PMANM","5.4.2.8"
"R_PMPK","2.7.4.7"
"R_PNTK","2.7.1.33"
"R_POR5","1.2.7.1"
"R_POX","1.2.2.2"
"R_PPA","3.6.1.1"
"R_PPA2","3.6.1.1"
"R_PPAKr","2.7.2.1"
"R_PPBNGS","4.2.1.24"
"R_PPC","4.1.1.31"
"R_PPCDC","4.1.1.36"
"R_PPCK","4.1.1.49"
"R_PPGPPDP","3.1.7.2"
"R_PPK2r","2.7.4.1"
"R_PPKr","2.7.4.1"
"R_PPM","5.4.2.7"
"R_PPM2","5.4.2.7"
"R_PPNCL2","6.3.2.5"
"R_PPND","1.3.1.12"
"R_PPNDH","4.2.1.51"
"R_PPPGO","1.3.3.4"
"R_PPPGO3","1.3.3.4"
"R_PPS","2.7.9.2"
"R_PRAGSr","6.3.4.13"
"R_PRAIS","6.3.3.1"
"R_PRAIi","5.3.1.24"
"R_PRAMPC","3.5.4.19"
"R_PRASCSi","6.3.2.6"
"R_PRATPP","3.6.1.31"
"R_PRFGS","6.3.5.3"
"R_PRMICI","5.3.1.16"
"R_PROD2","1.5.99.8"
"R_PROTRS","6.1.1.15"
"R_PRPPS","2.7.6.1"
"R_PSCVT","2.5.1.19"
"R_PSD120","4.1.1.65"
"R_PSD140","4.1.1.65"
"R_PSD141","4.1.1.65"
"R_PSD160","4.1.1.65"
"R_PSD161","4.1.1.65"
"R_PSD180","4.1.1.65"
"R_PSD181","4.1.1.65"
"R_PSERT","2.6.1.52"
"R_PSP_L","3.1.3.3"
"R_PSSA120","2.7.8.8"
"R_PSSA140","2.7.8.8"
"R_PSSA141","2.7.8.8"
"R_PSSA160","2.7.8.8"
"R_PSSA161","2.7.8.8"
"R_PSSA180","2.7.8.8"
"R_PSSA181","2.7.8.8"
"R_PTAr","2.3.1.8"
"R_PTPATi","2.7.7.3"
"R_PTRCTA","2.6.1.29"
"R_PUNP1","2.4.2.1"
"R_PUNP2","2.4.2.1"
"R_PUNP3","2.4.2.1"
"R_PUNP4","2.4.2.1"
"R_PUNP5","2.4.2.1"
"R_PUNP6","2.4.2.1"
"R_PUNP7","2.4.2.1"
"R_PYAM5PO","1.4.3.5"
"R_PYDAMK","2.7.1.35"
"R_PYDXK","2.7.1.35"
"R_PYDXNK","2.7.1.35"
"R_PYK","2.7.1.40"
"R_PYNP2r","2.4.2.2"
"R_RBFK","2.7.1.26"
"R_RBFSa","2.5.1.9"
"R_RBFSb","2.5.1.9"
"R_RBK","2.7.1.15"
"R_RBK_L1","2.7.1.16"
"R_RBP4E","5.1.3.4"
"R_RMI","5.3.1.14"
"R_RMK","2.7.1.5"
"R_RMPA","4.1.2.19"
"R_RNDR1","1.17.4.1"
"R_RNDR2","1.17.4.1"
"R_RNDR3","1.17.4.1"
"R_RNDR4","1.17.4.1"
"R_RPE","5.1.3.1"
"R_RPI","5.3.1.6"
"R_SADH","2.6.1.69"
"R_SARCOX","1.5.3.1"
"R_SBTPD","1.1.1.140"
"R_SDPDS","3.5.1.18"
"R_SDPTA","2.6.1.17"
"R_SELCYSS","2.9.1.1"
"R_SELNPS","2.7.9.3"
"R_SERAT","2.3.1.30"
"R_SERD_L","4.3.1.17"
"R_SERTRS","6.1.1.11"
"R_SERTRS2","6.1.1.11"
"R_SFGTHi","3.1.2.12"
"R_SHK3Dr","1.1.1.25"
"R_SHKK","2.7.1.71"
"R_SHSL1","4.2.99.9"
"R_SPMDAT1","2.3.1.57"
"R_SPMDAT2","2.3.1.57"
"R_SPMS","2.5.1.16"
"R_SPODM","1.15.1.1"
"R_SPODMpp","1.15.1.1"
"R_SSALx","1.2.1.24"
"R_SSALy","1.2.1.16"
"R_SUCBZL","6.2.1.26"
"R_SUCDi","1.3.99.1"
"R_SUCOAS","6.2.1.5"
"R_SULRi","1.8.2.2"
"R_TAGURr","1.1.1.58"
"R_TALA","2.2.1.2"
"R_TARTD","4.2.1.32"
"R_TAUDO","1.14.11.17"
"R_TDECOAI","5.3.3.8"
"R_TDP","3.6.1.15"
"R_TDPAGTA","2.6.1.33"
"R_TDPDRE","5.1.3.13"
"R_TDPDRR","1.1.1.133"
"R_TDPGDH","4.2.1.46"
"R_TDSK","2.7.1.130"
"R_TGBPA","4.1.2.40"
"R_THD2pp","1.6.1.1"
"R_THDPS","2.3.1.117"
"R_THFAT","2.1.2.10"
"R_THRA2i","4.1.2.5"
"R_THRAi","4.1.2.5"
"R_THRD","1.1.1.103"
"R_THRD_L","4.3.1.19"
"R_THRS","4.2.3.1"
"R_THRTRS","6.1.1.3"
"R_TKT1","2.2.1.1"
"R_TKT2","2.2.1.1"
"R_TMDK1","2.7.1.21"
"R_TMDPP","2.4.2.4"
"R_TMDS","2.1.1.45"
"R_TMK","2.7.1.89"
"R_TMPK","2.7.4.16"
"R_TMPPP","2.5.1.3"
"R_TPI","5.3.1.1"
"R_TRDR","1.8.1.9"
"R_TRE6PH","3.2.1.93"
"R_TRE6PP","3.1.3.12"
"R_TRE6PS","2.4.1.15"
"R_TREH","3.2.1.28"
"R_TREHpp","3.2.1.28"
"R_TRPAS2","4.1.99.1"
"R_TRPS1","4.2.1.20"
"R_TRPS2","4.2.1.20"
"R_TRPS3","4.2.1.20"
"R_TRPTRS","6.1.1.2"
"R_TRSARr","1.1.1.60"
"R_TYROXDApp","1.4.3.6"
"R_TYRTA","2.6.1.5"
"R_TYRTRS","6.1.1.1"
"R_UAAGDS","6.3.2.13"
"R_UACGALPpp","3.6.1.45"
"R_UACGAMPpp","3.6.1.45"
"R_UAG2E","5.1.3.14"
"R_UAGAAT","2.3.1.129"
"R_UAGCVT","2.5.1.7"
"R_UAGDP","2.7.7.23"
"R_UAMAGS","6.3.2.9"
"R_UAMAS","6.3.2.8"
"R_UAPGR","1.1.1.158"
"R_UDCPDP","3.6.1.27"
"R_UDCPDPpp","3.6.1.27"
"R_UDPG4E","5.1.3.2"
"R_UDPGALM","5.4.99.9"
"R_UDPGALPpp","3.6.1.45"
"R_UDPGD","1.1.1.22"
"R_UDPGPpp","3.6.1.45"
"R_UGLCURPpp","3.6.1.45"
"R_UGLT","2.7.7.12"
"R_UGLYCH","3.5.3.19"
"R_UGMDDS","6.3.2.15"
"R_UMPK","2.7.4.14"
"R_UPP3MT","2.1.1.107"
"R_UPP3S","4.2.1.75"
"R_UPPDC1","4.1.1.37"
"R_UPPRT","2.4.2.9"
"R_URDGLYCD","1.1.1.154"
"R_URIC","1.7.3.3"
"R_URIH","3.2.2.8"
"R_URIK2","2.7.1.48"
"R_VALTA","2.6.1.42"
"R_VALTRS","6.1.1.9"
"R_VPAMT","2.6.1.66"
"R_VPAMTr","2.6.1.66"
"R_XAND","1.1.1.204"
"R_XPPT","2.4.2.22"
"R_XTSNH","3.2.2.8"
"R_XYLI1","5.3.1.5"
"R_XYLI2","5.3.1.5"
"R_XYLK","2.7.1.17"
"R_XYLK2","2.7.1.53"
